timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1675792487358,578,pinterest-1,200,OK,Thread Group 1-100,text,true,,216752,122,25,25,https://www.pinterest.com/,411,0,88
1675792486602,1430,topgear,200,OK,Thread Group 1-78,text,true,,388820,240,24,24,https://www.topgear.com/,106,0,50
1675792486602,106,topgear-0,301,Moved Permanently,Thread Group 1-78,,true,,319,120,24,24,http://www.topgear.com/,106,0,50
1675792486709,1323,topgear-1,200,OK,Thread Group 1-78,text,true,,388501,120,24,24,https://www.topgear.com/,1150,0,127
1675792486625,1424,djmag,200,OK,Thread Group 1-87,text,true,,93141,232,23,23,https://djmag.com/,1126,0,1062
1675792486625,1126,djmag-0,301,Moved Permanently,Thread Group 1-87,,true,,654,118,23,23,http://www.djmag.com/,1126,0,1062
1675792487751,298,djmag-1,200,OK,Thread Group 1-87,text,true,,92487,114,23,23,https://djmag.com/,220,0,119
1675792485772,2286,topgear,200,OK,Thread Group 1-59,text,true,,388820,240,23,23,https://www.topgear.com/,1125,0,1069
1675792485772,1125,topgear-0,301,Moved Permanently,Thread Group 1-59,,true,,319,120,23,23,http://www.topgear.com/,1125,0,1069
1675792486897,1161,topgear-1,200,OK,Thread Group 1-59,text,true,,388501,120,23,23,https://www.topgear.com/,1002,0,112
1675792487426,646,pinterest,200,OK,Thread Group 1-98,text,true,,216139,244,22,22,https://www.pinterest.com/,126,0,62
1675792487426,126,pinterest-0,301,Moved Permanently,Thread Group 1-98,,true,,211,122,22,22,http://www.pinterest.com/,126,0,62
1675792487552,520,pinterest-1,200,OK,Thread Group 1-98,text,true,,215928,122,22,22,https://www.pinterest.com/,386,0,135
1675792487591,483,wikipedia,200,OK,Thread Group 1-83,text,true,,77212,244,22,22,https://www.wikipedia.org/,160,0,85
1675792487591,160,wikipedia-0,301,TLS Redirect,Thread Group 1-83,,true,,595,122,22,22,http://www.wikipedia.org/,160,0,85
1675792487751,323,wikipedia-1,200,OK,Thread Group 1-83,text,true,,76617,122,22,22,https://www.wikipedia.org/,207,0,138
1675792487849,263,djmag,200,OK,Thread Group 1-92,text,true,,93135,232,22,22,https://djmag.com/,74,0,31
1675792487849,74,djmag-0,301,Moved Permanently,Thread Group 1-92,,true,,652,118,22,22,http://www.djmag.com/,74,0,31
1675792487923,189,djmag-1,200,OK,Thread Group 1-92,text,true,,92483,114,22,22,https://djmag.com/,156,0,96
1675792487662,453,wikipedia,200,OK,Thread Group 1-91,text,true,,77212,244,22,22,https://www.wikipedia.org/,158,0,78
1675792487662,158,wikipedia-0,301,TLS Redirect,Thread Group 1-91,,true,,595,122,22,22,http://www.wikipedia.org/,158,0,78
1675792487821,294,wikipedia-1,200,OK,Thread Group 1-91,text,true,,76617,122,22,22,https://www.wikipedia.org/,196,0,111
1675792487707,413,djmag,200,OK,Thread Group 1-97,text,true,,93140,232,22,22,https://djmag.com/,122,0,57
1675792487707,122,djmag-0,301,Moved Permanently,Thread Group 1-97,,true,,658,118,22,22,http://www.djmag.com/,122,0,57
1675792487829,291,djmag-1,200,OK,Thread Group 1-97,text,true,,92482,114,22,22,https://djmag.com/,240,0,89
1675792487359,773,wikipedia,200,OK,Thread Group 1-81,text,true,,77212,244,22,22,https://www.wikipedia.org/,426,0,65
1675792487359,426,wikipedia-0,301,TLS Redirect,Thread Group 1-81,,true,,595,122,22,22,http://www.wikipedia.org/,426,0,65
